Product Name,Seller,Location,Price,Sold,Rating,Link
Buku Cerdas Kimia Melalui Teknik Mnemonic Hahelibe untuk Siswa SMA&MA,KringOnlineShop,Yogyakarta,Rp135.000,Terjual 4,No Ratings,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_yFHsKFos1Nbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yO6_eOo_rR6mFiyRCsUstpHAnDUMVj9RosQR-BUstpo_1Xo_eRop1po_nFHsHfoArDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BRZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBk39BqzJjh_OPgHJh1ZMWguVu7_jzCou22HAzoHB1F_Vzs8JYIu_-6Qu22_32Dq7NNZ9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBWPR2y8BVE_M2t6cgIPRBizpjpgjxdr7O98IgjHRKdypoZPcgU8c2gq1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjjp_uH7o1N1qpo6uVJO_BzSoJOk1_C-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBo8B1h_c2uHJNEypVo8BuR_1z-8jNk1_o-QsnYUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2Q6mFpHpJdbAeposxPbm-X9foxQMz2gcV7guYxgIHi6sJ7HZFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sJ7HpHfbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aU7HpydUiFi6ArRUiFi6ArNUiFi6AyRUiFi6Ay7UB7DUSCaq3oB9f-2gmUEHpnFbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6syh6ZdaHs1f6AjhosKfHpn7bm-hP3ua8uYag3hay3N09RosQR-BUstFbsr7H_yhHAefopepHpja6_zY?ob=23&is_search=1&t=desktop&dv=desktop&src=search&management_type=1&page=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fkringonlineshop%2Fbuku-cerdas-kimia-melalui-teknik-mnemonic-hahelibe-untuk-siswa-sma-ma%3FextParam%3Divf%253Dfalse%26src%3Dtopads&keywords=buku+kimia
Buku Kimia dan Fisik Pangan,QUEENA GARIKA,Bandung,Rp107.000,Terjual 0,No Ratings,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosUdos1FopUDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthos1NoA1Ooprdbm-srcHi6srOHmFiqfuNPfYagVY2gmUEH_yR6AHNHsJaomFiy3zwrfo5rM1i6sHFoiddH_rp6_eaHpUaosydbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke9uouJ1h_M2-H1B2PfBiQ_BO3_-uq1Y2Z_-oQuVN_BzDQ1NAHIBqz71h_VzzP7Y939zvzJND_jHFH7O1qch6qB2W332-ou2JyfBHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZS-jzsBDg1PcqMzAZ9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBke3BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z92ozVBO_7zVH7OEqpCoqjON_32gHjYAZsjibm-Orfua9fBjUstiHmUDUMVDgaUEUMW79fudy3o7UiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pKDHpHh6mF7Hpyd9ZFiQBYsy3Njq3zxPcuwy3zpUsthoAJDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aU7HpydUiFi6ArRUiFi6ArNUiFi6AyRUiFi6Ay7UB7DUMPaQRuF9Ro7rMV7g3PNUs2QHZFa9ZFirMuDg9gxQMoB9RosQR-BUsthbm-FrMBsguYiq3ei6srOHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstO6AnXosnfHpjOHsr7osrhoiFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdd6_Upo_JfHsrpoAjdo_HOwe?r=https%3A%2F%2Fwww.tokopedia.com%2Fqueenagarika%2Fbuku-kimia-dan-fisik-pangan%3FextParam%3Divf%253Dfalse%26src%3Dtopads&management_type=1&dv=desktop&keywords=buku+kimia&t=desktop&page=1&src=search&ob=23&is_search=1
Buku Kimia Anorganik: Struktur dan Ikatan,Booky Store,Kab. Sleman,Rp93.500,Terjual 0,No Ratings,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_e7HsjdosKfbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHaFiPcBWgZUEH_yO6_eOo_rR6mFiyRCsUstdo_nDUMVj9RosQR-BUstpHpnX6AjpHs1NHsUOHAKfHp1DUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BRZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBk39BqzJjh_OPgHJh1ZMWguVu7_jzCou22HAzoHB1F_Vzs8JYIu_-6Qu22_32Dq7NNZ9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBWPR2y8BVE_M2t6cgIPRBizpjpgjxdr7O98IgjHRKdypoZPcgU8c2gq1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjjp_OH7HJNJe9PozVVR_1z-H7N1u_z-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBo8jOR_c2So1OEZ_VvuJBN_BzCoJNk__V-QsnYUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2Q6mFpHpJdbAeposxPbm-X9foxQMz2gcV7guYxgIHi6sJ7HZFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6s17HAHDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUseposKibmUdopribmUdopjibmUdosribmUdosei9ZFirI-2yfuwyMBjUstdo_nDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEo_rNbsnO6AnRo_raHsHOo_rDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXopeN6_K7o_naopjaHp1doI7?r=https%3A%2F%2Fwww.tokopedia.com%2Fbooky-store%2Fbuku-kimia-anorganik-struktur-dan-ikatan%3FextParam%3Divf%253Dfalse%26src%3Dtopads&src=search&page=1&management_type=2&keywords=buku+kimia&t=desktop&dv=desktop&ob=23&is_search=1
Buku Ilmu Kimia Teknik - FC,Madu Mubarak,Kab. Sleman,Rp167.000,Terjual 0,No Ratings,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_n7o_Hp6Ayfbm-xgVY789CBUsthbm-FQRo2PcB5QiUEomFiPcBWgZUEH_yO6_eOo_rR6mFiyRCsUstRo_nDUMWB89P5rMzwq3ei6sJFopKNos1pHsyDUMVj9RosQR-BUstpH_1Xo_KfHAeRHAnho_KdHsrDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BRZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32CP1O1z_V6qjjhZ3BRq3-W69ugHBu2_fB-HjOW19B6uchW_jHF8u2Iz_VHuVVR_OPgPJYJ_Mh6epnp_uztQJNk3MOgqjjO3jzsq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGrMzc63hBz7gkgJo-r7BX_M2iH72D3A-G83UpgI2q17jfZ32Cq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-8jOk_9uvuVJO_jzgP7Y139xoqBja_S2sq3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUMW79fudy3o7UiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pKDHpHh6mF7Hpyd9ZFiQBYsy3Njq3zxPcuwy3zpUsthoAJDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aU7HpydUiFi6ArRUiFi6ArNUiFi6AyRUiFi6Ay7UB7DUS-BQcufy3NsguYpyfYagZUEHmddH_rf6_npH_UNHsjfHA1Nbm-FrMBsguYiq3ei6srOHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstOopHXosHRopnFo_nNHpUp6mFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmddH_rf6_npH_UdosUp6_yawe?is_search=1&management_type=1&keywords=buku+kimia&ob=23&page=1&t=desktop&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fmadumubarak%2Fbuku-ilmu-kimia-teknik-fc%3FextParam%3Divf%253Dfalse%26src%3Dtopads&src=search
TERMURAH ORIGINAL BUKU PAKET KIMIA DASAR JILID 1 & 2,frasta_shop,Bandung,Rp145.000,Terjual 4,5.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosraHA1NosnDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthos1NoA1Ooprdbm-srcHi6sjOHmFiy3zwrfo5rM1i6sHaHmdN6Anp6_UO6ArOHsrfoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ32g8u2JZ_VvuOjF_VzGqOB1u9z6zJJO3MjFoJ7au_CHucod_7PuHjNW3MBoqMh0_SB-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8BxE1926qMKdgjPR83-I6_oMZIxp_uPdPMep8AxsHO-7gjxdqBB2Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_z6epep_M2C8jOkgRx6ucH7_uzoHjN2Z9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBk_9BoepeO_7zC8jY1Z_VvzcHh_32sHjN2Zsjibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDdbAHpH_KDoAHf6V7DUMNwyfVXgcBjy9zB9fVjraUEH_ehbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEoAHNo_UDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUseposKibmUdopribmUdopjibmUdosribmUdosei9ZFirI-2yfuwyMBjUstNo_nDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEo_rabsn7HsyFH_U7oAjfHseDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXopKaH_rpHAHRo_Ud6_jhoR7?dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Ffrasta%2Ftermurah-original-buku-paket-kimia-dasar-jilid-1-2%3FextParam%3Divf%253Dfalse%26src%3Dtopads&t=desktop&keywords=buku+kimia&src=search&ob=23&management_type=2&is_search=1&page=1
KARTUN KIMIA (2020),Gramedia Official Store,Jakarta Utara,Rp75.000,Terjual 30+,5.0,https://www.tokopedia.com/gramedia-store/kartun-kimia-2020?extParam=ivf%3Dfalse%26src%3Dsearch%26whid%3D13012711
buku kimia Erlangga kelas XII 12 3 SMA k13 revisi unggul sudarmo bekas,sekengame,Tangerang Selatan,Rp80.000,Terjual 100+,4.9,https://www.tokopedia.com/sekengame/buku-kimia-erlangga-kelas-xii-12-3-sma-k13-revisi-unggul-sudarmo-bekas?extParam=ivf%3Dfalse%26src%3Dsearch
Tabel Susunan Berkala / Unsur-Unsur Kimia,Toko Buku dan Stationery,Jakarta Pusat,Rp6.500,Terjual 60+,4.8,https://www.tokopedia.com/tbaufar/tabel-susunan-berkala-unsur-unsur-kimia?extParam=ivf%3Dfalse%26src%3Dsearch
buku kimia kelas XI 11 2 sma erlangga michael purba eti sarwiyati k13,sekengame,Tangerang Selatan,Rp75.000,Terjual 30+,4.9,https://www.tokopedia.com/sekengame/buku-kimia-kelas-xi-11-2-sma-erlangga-michael-purba-eti-sarwiyati-k13?extParam=ivf%3Dfalse%26src%3Dsearch
buku kimia untuk SMA kelas X K 2013 kelompok peminatan Erlangga,aurelarlettabookstore,Jakarta Pusat,Rp60.000,Terjual 22,5.0,https://www.tokopedia.com/aurelarlettabookstore/buku-kimia-untuk-sma-kelas-x-k-2013-kelompok-peminatan-erlangga?extParam=ivf%3Dfalse%26src%3Dsearch
buku kimia sma kelas XII 12 3 Erlangga michael purba kurikulum 2013,sekengame,Tangerang Selatan,Rp85.000,Terjual 60+,5.0,https://www.tokopedia.com/sekengame/buku-kimia-sma-kelas-xii-12-3-erlangga-michael-purba-kurikulum-2013?extParam=ivf%3Dfalse%26src%3Dsearch
BUKU RUMUS SMA - BUKU SMA - INTI MATERI FISIKA KIMIA SMA/MA 10 11 12,cerdas media,Depok,Rp51.000,Terjual 12,5.0,https://www.tokopedia.com/cerdasmedia/buku-rumus-sma-buku-sma-inti-materi-fisika-kimia-sma-ma-10-11-12?extParam=ivf%3Dfalse%26src%3Dsearch
"BUKU KIMIA SMA KELAS 7,8,9 THE KING POCKET RUMUS DAN PENALARAN KIMIA",Buku Edukasi,Kab. Bantul,Rp57.750,Terjual 30+,4.9,https://www.tokopedia.com/bukuedukasicom/buku-kimia-sma-kelas-7-8-9-the-king-pocket-rumus-dan-penalaran-kimia?extParam=ivf%3Dfalse%26src%3Dsearch
Buku Original Bekas KIMIA SMA Kelas 11 Peminatan K13 Revisi Erlangga,TOKO BUKU LEJEM GULTOM,Jakarta Pusat,Rp80.000,Terjual 11,4.8,https://www.tokopedia.com/bukusenen/buku-original-bekas-kimia-sma-kelas-11-peminatan-k13-revisi-erlangga?extParam=ivf%3Dfalse%26src%3Dsearch
Original Buku Kimia Kelas 2 / XI 11 Sma Peminatan K13N Erlangga,Aqila Toko Buku,Jakarta Timur,Rp142.000,Terjual 80+,4.9,https://www.tokopedia.com/aqilatokobuku/original-buku-kimia-kelas-2-xi-11-sma-peminatan-k13n-erlangga?extParam=ivf%3Dfalse%26src%3Dsearch
Buku Solusi Mahir Kimia,Madu Mubarak,Kab. Sleman,Rp101.000,Terjual 0,No Ratings,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_n7o_Hp6Arpbm-xgVY789CBUsthbm-FQRo2PcB5QiUEoiFiPcBWgZUEH_yO6_eOo_rR6mFiyRCsUstRo_nDUMWB89P5rMzwq3ei6sJFopKNos1pHsyDUMVj9RosQR-BUstpHAJXHsrdo_rpHs1do_1foiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjVO_uzVH1NkZ_V-q9P2yM7NPujau3Bvq1ja_3Oz81N1QcO6epCN3jPVH1h119PvuOB7_7z6QJNAHAooucxD_M2qQuBkZ_uqzco2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12agJyNQcuIzM2je7BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjV2_JoG8Bja69BqusBE3BPc8ujagfBvq1BE_1zzP1O1__CozV17_1zoP7Y1e92ouJO2gBJYvZUDUSupg9-wq3ei6iUFUiFiy3hSUstiqRzwg9xxyReibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2Q6mFpHpJdbAeposxPbm-X9foxQMz2gcV7guYxgIHi6sJ7HZFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUseposKibmUdopribmUdopjibmUdosribmUdosei9ZFirMuDg9gxQMoB9RosQR-BUstFbsKRHsrfHpeF6_HdH_KhopUDUSCaq3oB9f-2gmUEop1Fbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6s1fomdaHsH76AHR6Ajf6Andbm-hP3ua8uYag3hay3N09RosQR-BUstFbsKRHsrfHpHNo_HF6_e76A-Y?r=https%3A%2F%2Fwww.tokopedia.com%2Fmadumubarak%2Fbuku-solusi-mahir-kimia%3FextParam%3Divf%253Dfalse%26src%3Dtopads&keywords=buku+kimia&page=1&t=desktop&dv=desktop&src=search&ob=23&management_type=1&is_search=1
TERMURAH ORIGINAL BUKU STRUKTUR KIMIA BIOMOLEKUL,frasta_shop,Bandung,Rp115.000,Terjual 0,No Ratings,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosnFH_KhHpjDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstRbm-7q3OBUsthos1NoA1Ooprdbm-srcHi6sjFHmFiy3zwrfo5rM1i6sHhoZdN6_Ja6A1fH_HpH_JNbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qBBN3jz-H1Y93_CHuJ203uzuPJNJe_uqq_n7__-uHJh1yRxvzO1a_MOqq1OkQcW681BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PE3I2z8jNkqAxMzRPNyjrNHfgU8IoouRxfgAod6cHp1SzMZIxk33B-r7BX_M2iH72D3A-G83UpgI2q17jfZ32-H7Y_oIBvzJ1F_BzS8JOEqp-oqjOd_SB-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32o8JN_oAuvuJuN_7zuHjO1_92ouJ1OZ3dFvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pKDHpHh6mF7Hpyd9ZFiQBYsy3Njq3zxPcuwy3zpUsthoAJDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstOoAnpbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aU7HpydUiFi6ArRUiFi6ArNUiFi6AyRUiFi6Ay7UB7DUSCaq3oB9f-2gmUE6_nFbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6s1fHmdO6_URHAJNHprNosrpbm-hP3ua8uYag3hay3N09RosQR-BUstFbsrRoAnRosefH_rNH_jNHs-Y?management_type=2&dv=desktop&src=search&t=desktop&is_search=1&page=1&r=https%3A%2F%2Fwww.tokopedia.com%2Ffrasta%2Ftermurah-original-buku-struktur-kimia-biomolekul%3FextParam%3Divf%253Dfalse%26src%3Dtopads&keywords=buku+kimia&ob=23
Buku statistika untuk kimia analitik edisi kedua jc miller,Toko buku Amanah 01,Bandung,Rp33.000,Terjual 0,No Ratings,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_edop1hHsHFbm-xgVY789CBUsthbm-FQRo2PcB5QiUE6mFiPcBWgZUEH_yO6_eOo_rR6mFiyRCsUstdHAnDUMVj9RosQR-BUstpHpyXosUfoAKFHsKF6_UhoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ32g8u2JZ_VvuOjF_VzGqOB1u9z6zJJO3MjFoJ7au_CHucod_7PuHjNW3MBoqMh0_SB-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8BxE1926qMKdgjPR83-I6_oMZIxp_uPdPMep8AxsHO-7gjxdqBB2Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_ovepea_Bz-HJNJe9xoqMH7_7zSH7B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OE__-HqBBN_M2zoJOJZ_zozcWN_uzuq3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDdbAHpH_KDoAHf6V7DUMNwyfVXgcBjy9zB9fVjraUEH_ehbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHsrO6_JDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUseposKibmUdopribmUdopjibmUdosribmUdosei9ZFirI-2yfuwyMBjUstdHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEo_1fbsyaosJOopjFopeOopUDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXos1po_eaHpjNoAnfoAHpH97?is_search=1&keywords=buku+kimia&management_type=2&dv=desktop&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Ftokobukuamanah01%2Fbuku-statistika-untuk-kimia-analitik-edisi-kedua-jc-miller%3FextParam%3Divf%253Dfalse%26src%3Dtopads&src=search&page=1&ob=23
